date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:36:10	5142/5142	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22672c11f8-239b%22	https://weeb-api.github.io/robots.txt		(from )
15:36:10	5500/5500	---M-Z	200	added ('OK')	text/html	etag:W/%226600aebc-157c%22	https://weeb-api.github.io/docs/	/storage/emulated/0/HTTrack/Websites/apikeyhost/weeb-api.github.io/docs/index.html	(from )
15:36:10	6982/6982	---M-Z	200	added ('OK')	text/css	etag:W/%226600aebc-1b46%22	https://weeb-api.github.io/docs/assets/main.css	/storage/emulated/0/HTTrack/Websites/apikeyhost/weeb-api.github.io/docs/assets/main.css	(from https://weeb-api.github.io/docs/)
15:36:11	602/602	---M-Z	200	added ('OK')	application/xml	etag:W/%226600aebd-25a%22	https://weeb-api.github.io/docs/feed.xml	/storage/emulated/0/HTTrack/Websites/apikeyhost/weeb-api.github.io/docs/feed.xml	(from https://weeb-api.github.io/docs/)
15:36:12	10859/10859	---M-Z	200	added ('OK')	text/html	etag:W/%226600aebd-2a6b%22	https://weeb-api.github.io/docs/carbon	/storage/emulated/0/HTTrack/Websites/apikeyhost/weeb-api.github.io/docs/carbon.html	(from https://weeb-api.github.io/docs/)
15:36:13	13612/13612	---M-Z	200	added ('OK')	text/html	etag:W/%226600aebc-352c%22	https://weeb-api.github.io/docs/entertainment	/storage/emulated/0/HTTrack/Websites/apikeyhost/weeb-api.github.io/docs/entertainment.html	(from https://weeb-api.github.io/docs/)
15:36:15	95181/95181	---M-Z	200	added ('OK')	text/html	etag:W/%226600aebc-173cd%22	https://weeb-api.github.io/docs/misc	/storage/emulated/0/HTTrack/Websites/apikeyhost/weeb-api.github.io/docs/misc.html	(from https://weeb-api.github.io/docs/)
15:36:16	42054/42054	---M-Z	200	added ('OK')	text/html	etag:W/%226600aebd-a446%22	https://weeb-api.github.io/docs/weeb	/storage/emulated/0/HTTrack/Websites/apikeyhost/weeb-api.github.io/docs/weeb.html	(from https://weeb-api.github.io/docs/)
15:36:17	9906/9906	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%226600aebd-26b2%22	https://weeb-api.github.io/docs/assets/minima-social-icons.svg	/storage/emulated/0/HTTrack/Websites/apikeyhost/weeb-api.github.io/docs/assets/minima-social-icons.svg	(from https://weeb-api.github.io/docs/)
15:36:18	765099/765099	---M-Z	200	added ('OK')	image/jpeg	etag:%22303e4a39712d9e27d8d42a435c3dcf2ccef5e971%22	https://telegra.ph/file/11e6cd6bda73db06a4b89.jpg	/storage/emulated/0/HTTrack/Websites/apikeyhost/telegra.ph/file/11e6cd6bda73db06a4b89.jpg	(from https://weeb-api.github.io/docs/)
15:36:19	44531/44531	---M-Z	200	added ('OK')	image/png	etag:%222e3538946fc80d62c71aa13f09bd1ef26d97e1c7%22	https://telegra.ph/file/ceff40e9d9d0c3f8c3a50.png	/storage/emulated/0/HTTrack/Websites/apikeyhost/telegra.ph/file/ceff40e9d9d0c3f8c3a50.png	(from https://weeb-api.github.io/docs/entertainment)
15:36:20	11723/11723	---M-Z	200	added ('OK')	image/jpeg	etag:%220446a2613790c7946b92412eb321869e6d27878c%22	https://telegra.ph/file/ec6d0a0d4480593adf273.jpg	/storage/emulated/0/HTTrack/Websites/apikeyhost/telegra.ph/file/ec6d0a0d4480593adf273.jpg	(from https://weeb-api.github.io/docs/misc)
15:38:24	489886/489886	---M-Z	200	added ('OK')	image/jpeg	etag:%22e31d2b2df63d3572dc7eda35851cec65b9b1dcd0%22	https://telegra.ph/file/ea67c477911d9cfc6f877.jpg	/storage/emulated/0/HTTrack/Websites/apikeyhost/telegra.ph/file/ea67c477911d9cfc6f877.jpg	(from https://weeb-api.github.io/docs/weeb)
15:38:25	100792/100792	---M--	200	added ('OK')	image/jpeg	etag:%229d21c53ce04b5be67266aaab368440f49503df01%22	https://telegra.ph/file/aecacc8703f30dddcd1c5.jpg	/storage/emulated/0/HTTrack/Websites/apikeyhost/telegra.ph/file/aecacc8703f30dddcd1c5.jpg	(from https://weeb-api.github.io/docs/weeb)
15:38:33	2523656/2523656	---M--	200	added ('OK')	image/jpeg	etag:%228fede4be26e8cd5c8f96bf10701942a2%22	https://i.waifu.pics/uWB-nMh.jpg	/storage/emulated/0/HTTrack/Websites/apikeyhost/i.waifu.pics/uWB-nMh.jpg	(from https://weeb-api.github.io/docs/weeb)
